wavelength_um,global_tilt_um,direct_normal_um
0.367,722.85,488.69
0.3675,709.14,480.41
0.368,667.59,453.19
0.3685,663.1,451.06
0.369,693.1500000000001,472.44000000000005
0.3695,744.6899999999999,508.56
0.37,755.07,516.66
0.3705,682.61,467.98
0.371,693.38,476.28
0.3715,720.51,495.87
0.372,674.44,465.05999999999995
0.3725,642.5300000000001,443.89
0.373,618.86,428.33
0.3735,557.86,386.82
0.374,556.4,386.51000000000005
0.3745,552.27,384.35
0.375,589.3000000000001,410.87
0.3755,651.62,455.14
0.376,674.8,472.18
0.3765,663.9000000000001,465.38
0.377,712.25,500.14000000000004
0.3775,794.55,558.9
0.378,855.95,603.14
0.3785,834.1800000000001,588.92
0.379,743.8900000000001,526.16
0.3795,666.83,472.55
0.38,700.77,497.51
0.3805,750.75,533.96
0.381,763.83,544.2399999999999
0.3815,688.37,491.35
0.382,586.78,419.58
0.3825,507.61999999999995,363.61
0.383,454.99,326.48
0.3835,440.49,316.58
0.384,509.68,366.89
0.3845,613.5899999999999,442.39
0.385,673.55,486.38
0.3855,643.63,465.49
0.386,621.0,449.84000000000003
0.3865,645.7,468.48
0.387,651.47,473.43
0.3875,642.0400000000001,467.31
0.388,635.82,463.5
0.3885,631.36,460.96
0.389,685.43,501.21000000000004
0.3895,759.7,556.37
0.39,796.99,584.57
0.3905,803.71,590.38
0.391,851.38,626.34
0.3915,863.4399999999999,636.17
0.392,794.9300000000001,586.56
0.3925,662.5699999999999,489.61
0.393,479.75,355.02
0.3935,381.52000000000004,282.72
0.394,495.67,367.8
0.3945,683.8499999999999,508.10999999999996
0.395,807.72,600.96
0.3955,860.38,641.01
0.396,756.55,564.43
0.3965,550.1700000000001,411.01
0.397,426.19,318.82
0.3975,629.4499999999999,471.51
0.398,852.49,639.44
0.3985,1006.8999999999999,756.22
0.399,1069.3,804.08
0.3995,1102.1000000000001,829.8
0.4,1114.1000000000001,839.89
0.401,1160.3000000000002,876.91
0.402,1206.1,913.87
0.403,1161.3,882.1099999999999
0.404,1180.1,898.49
0.405,1151.1,878.49
0.406,1122.7,858.78
0.407,1102.6000000000001,845.45
0.408,1151.4,884.88
0.409,1229.9,947.17
0.41,1048.5,809.1
0.411,1173.8,907.6999999999999
0.412,1247.8,966.86
0.413,1197.1000000000001,929.51
0.414,1184.1999999999998,921.34
0.415,1225.8,955.69
0.416,1262.3999999999999,986.2800000000001
0.417,1231.2,963.92
0.418,1177.7,923.92
0.419,1225.8,963.54
0.42,1123.2,884.67
0.421,1275.7,1006.6999999999999
0.422,1258.3,994.99
0.423,1218.3999999999999,965.31
0.424,1211.7,961.82
0.425,1248.8,993.12
0.426,1213.5,966.6700000000001
0.427,1172.4,935.5
0.428,1183.8999999999999,946.25
0.429,1096.3,877.66
0.43,874.62,701.3399999999999
0.431,793.9399999999999,637.79
0.432,1320.7,1062.8
0.433,1228.8,990.5
0.434,1135.2,916.53
0.435,1245.2,1006.9999999999999
0.436,1365.8999999999999,1106.1000000000001
0.437,1394.3000000000002,1130.6000000000001
0.438,1223.8,993.6800000000001
0.439,1177.5,957.53
0.44,1349.9,1099.3
0.441,1331.3,1085.9
0.442,1425.0,1164.0
0.443,1445.3,1182.3
0.444,1408.4,1153.7
0.445,1461.9,1199.2
0.446,1310.8,1076.6
0.447,1490.3,1225.7
0.448,1508.1,1242.2
0.449,1504.5,1240.8999999999999
0.45,1559.5,1288.1
0.451,1617.3,1337.6
0.452,1548.2,1282.2
0.453,1429.7,1185.4
0.454,1533.5,1273.0
0.455,1522.3999999999999,1265.5
0.456,1572.4,1308.8
0.457,1585.3999999999999,1321.3
0.458,1551.3999999999999,1294.6
0.459,1539.1,1285.9
0.46,1529.1,1279.1
0.461,1582.7,1325.5
0.462,1597.5,1339.2
0.463,1603.1,1345.2
0.464,1554.4,1305.5
0.465,1535.0,1290.5
0.466,1567.3,1319.0
0.467,1497.3000000000002,1261.6000000000001
0.468,1561.9,1317.8000000000002
0.469,1568.2,1324.7
0.47,1507.7,1274.8999999999999
0.471,1533.1,1297.5
0.472,1612.6000000000001,1366.1000000000001
0.473,1549.9,1314.4
0.474,1567.1,1330.4
0.475,1618.5,1375.5
0.476,1563.1,1329.9
0.477,1572.4,1339.2
0.478,1623.0,1383.8999999999999
0.479,1591.6,1358.6000000000001
0.48,1618.1000000000001,1382.5
0.481,1617.6999999999998,1383.6
0.482,1623.6,1389.8999999999999
0.483,1603.8,1374.2
0.484,1573.3999999999999,1349.2
0.485,1568.3,1345.6999999999998
0.486,1271.6000000000001,1091.8000000000002
0.487,1424.1,1223.5
0.488,1541.3,1325.2
0.489,1451.8999999999999,1249.2
0.49,1622.4,1396.8
0.491,1559.5,1343.5
0.492,1486.9,1281.8
0.493,1590.3,1371.8999999999999
0.494,1552.5,1340.2
0.495,1648.5,1423.8
0.496,1567.6000000000001,1354.8
0.497,1594.4,1378.8
0.498,1550.8999999999999,1342.1000000000001
0.499,1550.7,1342.9
0.5,1545.1,1339.1
0.501,1497.8,1299.0
0.502,1496.6,1299.1
0.503,1565.3,1359.6999999999998
0.504,1458.7,1268.2
0.505,1563.5,1359.8
0.506,1626.4,1415.3
0.507,1556.0,1354.8
0.508,1516.5,1321.0
0.509,1589.3,1385.0
0.51,1548.1000000000001,1349.6999999999998
0.511,1576.8999999999999,1375.3
0.512,1618.6000000000001,1412.5
0.513,1520.6,1327.7
0.514,1488.5,1300.3
0.515,1531.4,1338.5
0.516,1545.5,1351.3999999999999
0.517,1259.4,1101.6999999999998
0.518,1440.3,1260.5
0.519,1395.7,1222.2
0.52,1523.6000000000001,1334.8999999999999
0.521,1534.6,1345.2
0.522,1569.0,1376.0
0.523,1478.9,1297.6000000000001
0.524,1590.5,1396.2
0.525,1578.1000000000001,1385.8999999999999
0.526,1534.1,1347.9
0.527,1341.6999999999998,1179.5
0.528,1535.7,1350.8
0.529,1607.1,1414.1999999999998
0.53,1544.6,1359.8
0.531,1629.2,1434.8000000000002
0.532,1599.8000000000002,1409.4
0.533,1428.6000000000001,1259.0
0.534,1530.2,1349.1
0.535,1553.5,1370.1000000000001
0.536,1619.8999999999999,1429.2
0.537,1498.8999999999999,1322.8999999999999
0.538,1573.8000000000002,1389.6
0.539,1535.1999999999998,1355.8
0.54,1482.5,1309.6000000000001
0.541,1425.1000000000001,1259.5
0.542,1551.1,1371.3999999999999
0.543,1525.6000000000001,1349.3
0.544,1579.2,1397.1
0.545,1543.5,1365.6999999999998
0.546,1529.1,1353.6
0.547,1549.0,1371.6999999999998
0.548,1504.8999999999999,1333.1
0.549,1552.0,1375.2
0.55,1539.9,1364.8
0.551,1538.2,1363.8999999999999
0.552,1569.7,1392.3000000000002
0.553,1525.0,1353.3
0.554,1554.8999999999999,1380.2
0.555,1563.3999999999999,1388.3000000000002
0.556,1536.6,1365.1
0.557,1498.8,1332.1000000000001
0.558,1531.0,1361.3
0.559,1448.3,1288.5
0.56,1474.0,1311.8000000000002
0.561,1559.5,1388.5
0.562,1484.6999999999998,1322.5
0.563,1540.8,1373.1
0.564,1510.6,1346.6
0.565,1520.1,1355.5
0.566,1437.4,1282.3
0.567,1532.0,1367.3
0.568,1518.0,1355.3999999999999
0.569,1480.6999999999998,1322.8
0.57,1481.6000000000001,1324.0
0.571,1433.1000000000001,1281.0
0.572,1513.4,1353.3999999999999
0.573,1519.8,1359.5
0.574,1511.9,1352.7
0.575,1477.7,1322.5
0.576,1465.4,1311.8000000000002
0.577,1502.3,1345.2
0.578,1456.0,1304.0
0.579,1477.0,1323.0
0.58,1502.0,1345.5
0.581,1508.8999999999999,1351.8
0.582,1532.0,1372.9
0.583,1547.9,1387.2
0.584,1544.8,1384.5
0.585,1532.4,1373.6999999999998
0.586,1495.3000000000002,1340.9
0.587,1528.1,1370.8
0.588,1493.4,1340.3
0.589,1289.4,1158.1999999999998
0.59,1370.9,1231.6000000000001
0.591,1466.2,1317.1
0.592,1435.4,1290.0
0.593,1456.1,1308.6
0.594,1449.1000000000001,1302.8999999999999
0.595,1430.8000000000002,1287.0
0.596,1474.5,1326.0
0.597,1478.8,1330.3
0.598,1460.7,1314.2
0.599,1460.6,1314.5
0.6,1475.3,1327.8000000000002
0.601,1457.8999999999999,1312.3
0.602,1436.0,1292.8
0.603,1466.3999999999999,1320.5
0.604,1492.1,1343.9
0.605,1489.5,1341.8000000000002
0.606,1482.2,1335.3
0.607,1491.1000000000001,1343.3999999999999
0.608,1486.2,1339.2
0.609,1474.9,1329.2
0.61,1468.6,1323.7
0.611,1461.1000000000001,1317.0
0.612,1483.1000000000001,1337.0
0.613,1462.1,1318.2
0.614,1417.6,1278.3
0.615,1469.7,1325.3999999999999
0.616,1431.0,1290.6
0.617,1412.8,1274.4
0.618,1466.3999999999999,1322.8
0.619,1473.3,1329.2
0.62,1473.9,1329.9
0.621,1480.2,1335.9
0.622,1426.9,1288.2
0.623,1416.5,1279.3000000000002
0.624,1411.8,1275.1
0.625,1402.6000000000001,1266.7
0.626,1401.2,1265.5
0.627,1441.7,1302.2
0.628,1363.1,1232.8
0.629,1411.4,1275.8
0.63,1392.4,1258.8999999999999
0.631,1416.1,1279.9
0.632,1363.8,1232.6999999999998
0.633,1450.8000000000002,1311.0
0.634,1428.3999999999999,1290.7
0.635,1445.8,1306.5
0.636,1412.8,1276.8
0.637,1461.0,1320.4
0.638,1470.6999999999998,1329.2
0.639,1464.6,1323.8000000000002
0.64,1434.0,1296.2
0.641,1434.8000000000002,1297.0
0.642,1437.6,1299.5
0.643,1452.5,1313.0
